premise,hypothesis,label,explanation,label_name
"There are several women, some wearing T-shirts with HSBC on them, at a food buffet.",They are getting food.,0,"they are getting food because they are at a food buffet and  ""they"" could be used to describe several women.",entailment
A man speaking into a microphone by a drink banner.,a man is inside his office talking to someone,2,a man is not speaking into a microphone inside his office.,contradiction
Two men stand together; one is putting something red on his arm.,The men are not putting anything red on themselves.,2,The men have to be either putting something red on or not.,contradiction
The boy runs across the court with the basketballs.,A boy running on a basketball court with balls.,0,"If you are on a court, then you are typically running instead of moving slowly.",entailment
A dark-haired man in a brown t-shirt walking on the street.,The dark-haired man is attacking a dog.,2,"If the man is walking on the street then he is not attacking a dog.  Dogs attack men, not the reverse.",contradiction
A child in the snow.,An adult is in the snow.,2,One can not be an adult and a child at the same time.,contradiction
A construction worker works near a bulldozer.,A man is playing a video game.,2,work is not playing games,contradiction
3 friends hanging out in the park on the grass.,3 friends are sitting in a bar,2,If the friends are hanging out in the park it implies they cannot be sitting in a bar.,contradiction
A group of people in front of a red firetruck.,The people are firefighters,1,They may not be hired firefighters.,neutral
A little girl in an elaborate green and orange dress is chasing after a pink and white balloon figure.,The balloon is shaped as an animal.,1,when a little girl is chasing after pink and white balloon that is not necessarily to be in an animal shape.,neutral
A woman adjusts her sunglasses.,A woman is fighting with sunglasses.,1,Adjusts does not necessarily mean fighting with.,neutral
Q child in a red shirt creating a rock exhibit.,a man destroys a rock exhibit,2,"A man is used to describe someone older than a child, and creating is the opposite of destroying.",contradiction
A large brown dog is pushing a small Boston terrier with his face while anouther dog watches.,A large down pushes her puppy while the sibling watches.,1,"Just because there are three dogs together does not mean they are related. The Boston terrier may not be the puppy of the large dog, and the other dog may not be the sibling.",neutral
A group of people in bathing suits pose for a picture.,A group in swimsuits are getting their picture taken on the beach.,1,We don't know if people are on the beach.,neutral
A person wearing jeans and an orange jacket walks by a lighted building and parking structure.,A person is walking to their car,1,Walking to a lighted building and parking structure does not necessarily mean that the person is walking to their car.,neutral
Workers treat fabric in outdoor pools of dye.,People use pink dye on fabric.,1,It is not imply that pink dye was use on fabric.,neutral
Several people walking up a large tower.,People walking up tower.,0,Several people describes the same thing as people.,entailment
Three construction workers are helping to operate a vehicle.,"The three construction workers are on the curb near a busy street with a sign that says  ""Will work for beer"".",2,The workers could not be helping to operate a vehicle while standing on the curb with a sign at the same time,contradiction
A transvestite with a black dress and long red gloves holding an umbrella and wearing fruit on his head.,There is a person dressed exotically.,1,"Person could be male or female, and a red and black dress, gloves, etc. does not mean exotic.",neutral
Woman in black jacket and blue pants rides bike on shoulder through construction area.,A woman rider her bike to work.,1,"The woman's destination, of going to work, cannot be implied from just the setting.",neutral
Three people on a patio one with a gun.,Two friends are being held up by a man with a gun,1,three people are not always friends,neutral
young boy leaps from a platform at a fenced in playgroud,A boy is jumping to another platform.,1,A boy can jump from a platform to any other place not necessarily another platform.,neutral
Men and women eating near a storefront one man and a woman with a stroller taking to each other.,People eating in front of a store.,0,Men and women are people.,entailment
"Several people, including a little girl playing games in a video arcade.",A congressman whispers into his colleagues ear during a tense hearing,2,A hearing would not be at an arcade,contradiction
A small boy and girl walking down a country lane under an umbrella.,The couple is sleeping.,2,You can't be sleeping and walking at the same time.,contradiction
People play with pyrotechnics.,People play with fire.,1,People playing with pyrotechnics doesn't mean that they play with fire.,neutral
The groom stands at a railing by the sea with his arm around the bride.,A newly married couple poses for their first picture as Mr and Mrs.,1,A bride and groom standing at a railing does not imply they are posing for their first picture.,neutral
A group of people are on a canyon.,People are hiking to the bottom of the canyon.,1,They are going to the bottom.,neutral
